token,tag,pos
-,PUNCT,punctuation
٢٠١٧,NUM,numeral
کې,PRT,particle
په,PRT,particle
خپل,ADJ,adjective
نوم,NOUN,noun
ثبت,VERB,verb
کړی ,NOUN,noun
و,VERB,verb
.,PUNCT,punctuation
فضایي,ADJ,adjective
ماموریتونه,NOUN,noun
په,PRT,particle
اکثرو,ADV,adverb
مواردو,NOUN,noun
کې,PRT,particle
شپږ,NUM,numeral
میاشتنې,ADV,adverb
وي,VERB,verb
،,PUNCT,punctuation
خو,CONJ,coordinating conjunction
د,X,other
امریکا,NOUN,proper noun
د,X,other
فضایي,ADJ,adjective
څیړنو,NUM,noun
ادارې,NOUN,noun
یا,CONJ,coordinating conjunction
ناسا,NOUN,proper noun
د,X,other
اپریل,NOUN,noun
په,PRT,particle
میاشت,NOUN,noun
کې,PRT,particle
اعلان,NOUN,noun
وکړ,VERB,verb
چې,PRT,particle
د,X,other
میرمن,NOUN,noun
کک,NOUN,proper noun
ماموریت,NOUN,noun
د,X,other
٢٠٢٠,NUM,numeral
کال,NOUN,noun
د,X,other
فبرورۍ,NOUN,noun
پورې,X,other
اوږد,ADJ,adjective
شو,VERB,verb
.,PUNCT,punctuation
په,PRT,particle
فضا,NOUN,noun
کې,PRT,particle
د,X,other
نارینه,NOUN,noun
فضانوردې,NOUN,noun
د,X,other
اوسیدو,X,other
لپاره,X,other
د,X,other
امریکا,NOUN,proper noun
ریکارد,NOUN,noun
٣۴٠,NUM,numeral
ورځې,NOUN,noun
دی,VERB,verb
چې,PRT,particle
په,PRT,particle
۲۰۱۵,NUM,numeral
-,PUNCT,punctuation
۲۰۱۶,NUM,numeral
کې,PRT,particle
د,X,other
”,PUNCT,punctuation
سکات,X,other
کلي,X,other
“,PUNCT,punctuation
په,PRT,particle
نوم,NOUN,noun
فضانورد,NOUN,noun
په,PRT,particle
خپل,ADJ,adjective
نوم,NOUN,noun
ثبت,VERB,verb
کړی,VERB,verb
دی,VERB,verb
.,PUNCT,punctuation
خو,CONJ,coordinating conjunction
لا,CONJ,coordinating conjunction
هم,ADP,adposition
په,PRT,particle
فضا,NOUN,noun
کې,PRT,particle
د,X,other
انسان,NOUN,noun
د,X,other
اوږدمهاله,NOUN,noun
اوسیدو,X,other
ریکارډ,NOUN,noun
د,X,other
روسي,ADJ,adjective
ډاکتر,NOUN,noun
او,CONJ,coordinating conjunction
ستورمزلي,X,other
(,PUNCT,punctuation
فضانورد,NOUN,noun
),PUNCT,punctuation
والري,VERB,verb
پلیاکوف,NOUN,proper noun
،,PUNCT,punctuation
پورې,X,other
اړه,NOUN,noun
لري,VERB,verb
چې,PRT,particle
پوره,ADJ,adjective
١٥,NUM,numeral
میاشتې,NOUN,noun
په,PRT,particle
فضایي,ADJ,adjective
مرکز,NOUN,noun
کې,PRT,particle
اوسیدلی,VERB,verb
و,VERB,verb
.,PUNCT,punctuation
د,X,other
هند,NOUN,proper noun
فضایي,ADJ,adjective
اداره,NOUN,noun
وایي,VERB,verb
د,X,other
هغې,PRON,pronoun
څیړنیزې,ADJ,adjective
الې,NOUN,noun
موقعیت,NOUN,noun
یې,ADP,adposition
څرگند,ADJ,adjective
کړی,VERB,verb
چې,PRT,particle
د,X,other
فضایي,ADJ,adjective
بېړۍ,NOUN,noun
په,PRT,particle
وسیله,NOUN,noun
یې,ADP,adposition
سپوږمۍ,NOUN,noun
استولې,VERB,verb
وه,VERB,verb
او,CONJ,coordinating conjunction
داسې,DET,determiner
گمان,NOUN,noun
کیده,VERB,verb
چې,PRT,particle
ورکه,ADJ,adjective
شوې,VERB,verb
ده,VERB,verb
.,PUNCT,punctuation
هندي,PUNCT,punctuation
رسنیو,NOUN,noun
رپوټ,NOUN,noun
ورکړی,VERB,verb
چې,PRT,particle
دغه,DET,determiner
څیړنیزې,ADJ,adjective
وسیلې,NOUN,noun
ته,PRT,particle
هیڅ,DET,determiner
ډول,DET,determiner
تاوان,NOUN,noun
ندی,VERB,VERB
رسیدلی,VERB,verb
او,VERB,verb
گمان,NOUN,noun
کیږي,VERB,verb
چې,PRT,particle
په,PRT,particle
ارامه,ADJ,adjective
توگه,ADV,adverb
د,X,other
سپوږمۍ,NOUN,noun
سطحې,NOUN,noun
ته,PRT,particle
ښکته,ADP,adposition
شوې,VERB,verb
ده,VERB,verb
.,PUNCT,punctuation
خو,CONJ,coordinating conjunction
د,X,other
هند,NOUN,proper noun
فضایي,ADJ,adjective
ادارې,NOUN,noun
وویل,VERB,verb
چې,PRT,particle
دا,DET,determiner
څیړنیزه,ADJ,adjective
اله,NOUN,noun
عادي,ADJ,adjective
کار,NOUN,noun
نه,PRT,particle
کوي,VERB,verb
او,CONJ,coordinating conjunction
یو,DET,determiner
اړخ,X,other
ته,PRT,particle
ډېر,ADJ,adjective
میلان,X,other
لري,VERB,verb
.,PUNCT,punctuation
د,X,other
ویکرام,X,other
په,PRT,particle
نامه,X,other
څیړنیزې,X,other
الې,X,other
سره,ADP,adposition
د,X,other
هند,NOUN,proper noun
د,X,other
فضایي,ADJ,adjective
مرکز,NOUN,noun
اړیکه,NOUN,noun
د,X,other
شنبې,NOUN,noun
په,PRT,particle
ورځ,NOUN,noun
سپتمبر,NOUN,noun
شپږمه,NOUN,noun
(,PUNCT,punctuation
وږي,PUNCT,punctuation
١٦,X,other
),PUNCT,punctuation
پداسې,DET,determiner
حال,NOUN,noun
کې,PRT,particle
قطع,X,other
شو,VERB,verb
چې,PRT,particle
دغه,DET,determiner
وسیله,PRON,pronoun
د,X,other
سپوږمۍ,NOUN,noun
دوه,NUM,numeral
کیلومترۍ,NUM,numeral
ته,PRT,particle
رسیدلې,PRON,pronoun
وه,VERB,verb
.,PUNCT,punctuation
سپوږمۍ,NOUN,noun
ته,PRT,particle
د,X,other
فضایي,ADJ,adjective
بېړۍ,X,other
او,CONJ,coordinating conjunction
څیړنیزې,CONJ,coordinating conjunction
وسیلې,X,other
استول,X,other
د,X,other
١۴١,X,other
میلیون,NUM,numeral
ډالرو,NOUN,noun
ماموریت,NOUN,noun
و,CONJ,coordinating conjunction
.,PUNCT,punctuation
د,X,other
هند,NOUN,proper noun
فضایي,ADJ,adjective
ادارې,NOUN,noun
اعلان,NOUN,noun
کړی,VERB,verb
چې,PRT,particle
دغه,DET,determiner
ماموریت,NOUN,noun
په,PRT,particle
سپوږمۍ,NOUN,noun
کې,PRT,particle
د,X,other
موجودو,X,other
منرالونو,NOUN,noun
د,X,other
ازمایلو,X,other
لپاره,X,other
و,CONJ,coordinating conjunction
او,CONJ,coordinating conjunction
همداشان,CONJ,coordinating conjunction
هڅه,NOUN,noun
به,PRT,particle
وکړي,VERB,verb
چې,PRT,particle
د,X,other
سپوږمۍ,NOUN,noun
د,X,other
سطحې,X,other
نه,PRT,particle
د,X,other
نقشې,X,other
اخیستلو,X,other
تر,ADP,adposition
څنگ,X,other
پدغه,DET,determiner
کره,X,other
کې,PRT,particle
د,X,other
اوبو,NOUN,noun
منابع,NOUN,noun
ومومي,X,other
.,PUNCT,punctuation
که,PRT,particle
دغه,DET,determiner
هندي,PRON,pronoun
څیړنیزه,ADJ,adjective
اله,NOUN,noun
په,PRT,particle
سمه,ADJ,adjective
توگه,X,other
په,PRT,particle
سپوږمۍ,NOUN,noun
کې,PRT,particle
ښکته,X,other
شوې,VERB,verb
وي,X,other
،,PUNCT,punctuation
هند,NOUN,proper noun
له,PRT,particle
امریکا,NOUN,proper noun
،,PUNCT,punctuation
روسیې,NOUN,proper noun
او,CONJ,coordinating conjunction
چین,NOUN,proper noun
وروسته,X,other
څلورم,X,other
هیواد,NOUN,noun
دی,VERB,verb
چې,PRT,particle
د,X,other
سپوږمۍ,NOUN,noun
سطحې,X,other
ته,PRT,particle
په,PRT,particle
بریالیتوب,NOUN,noun
سپوږمکۍ,X,other
استوي,X,other
.,PUNCT,punctuation
په,PRT,particle
همدې,DET,determiner
برخه,NOUN,noun
کې,PRT,particle
هند,NOUN,proper noun
په,PRT,particle
٢٠٠٨,X,other
کال,NOUN,noun
کې,PRT,particle
یوه,DET,determiner
فضایي,ADJ,adjective
بېړۍ,X,other
د,X,other
سپوږمۍ,NOUN,noun
په,PRT,particle
لور,X,other
استولې,NOUN,noun
وه,VERB,verb
چې,PRT,particle
د,X,other
رادار,X,other
له,PRT,particle
لارې,X,other
یې,ADP,adposition
په,PRT,particle
سپوږمۍ,NOUN,noun
کې,PRT,particle
د,X,other
اوبو,NOUN,noun
زیرمې,X,other
لټولې,X,other
.,PUNCT,punctuation
تکنالوژي,NOUN,noun
په,PRT,particle
بیړه,X,other
پرمختگ,NOUN,noun
کوي,VERB,verb
او,CONJ,coordinating conjunction
بشر,CONJ,coordinating conjunction
به,PRT,particle
ډیر,ADJ,adjective
ژر,X,other
په,PRT,particle
خپل,ADJ,adjective
ورځني,ADV,adverb
ژوند,NOUN,noun
کې,PRT,particle
د,X,other
عصري,X,other
تکنالوژۍ,NOUN,noun
د,X,other
پام,X,other
وړ,NOUN,noun
پرمختگونو,NOUN,noun
شاهد,X,other
وي,NOUN,noun
.,PUNCT,punctuation
د,X,other
تکنالوژۍ,NOUN,noun
ددغو,DET,determiner
پرمختگونو,NOUN,noun
یوه,DET,determiner
برخه,NOUN,noun
په,PRT,particle
٢٠٢٠,X,other
کال,NOUN,noun
کې,PRT,particle
بازار,X,other
او,CONJ,coordinating conjunction
د,X,other
انسانانو,NOUN,noun
ورځني,ADV,adverb
ژوند,NOUN,noun
ته,PRT,particle
راځي,VERB,verb
او,CONJ,coordinating conjunction
د,X,other
هغوی,PRON,pronoun
په,PRT,particle
ژوند,NOUN,noun
کې,PRT,particle
به,PRT,particle
د,X,other
پام,X,other
وړ,NOUN,noun
بدلونونه,ADJ,adjective
راوړي,X,other
.,PUNCT,punctuation
اټوماټیزیشنپه,NOUN,noun
اوسني,X,other
عصر,X,other
کې,PRT,particle
د,X,other
اټوماټیزیشن,X,other
یا,CONJ,coordinating conjunction
خودکار,CONJ,coordinating conjunction
اصطلاح,X,other
په,PRT,particle
پراخه,X,other
کارول,X,other
کیږي,VERB,verb
او,CONJ,coordinating conjunction
د,X,other
محاسبې,X,other
،,PUNCT,punctuation
روباټ,X,other
جوړولو,X,other
او,CONJ,coordinating conjunction
د,X,other
اطلاعاتو,X,other
د,X,other
راټولولو,X,other
او,CONJ,coordinating conjunction
ذخیره,CONJ,coordinating conjunction
کولو,NOUN,noun
تکنالوژۍ,NOUN,noun
ترې,X,other
کټه,X,other
اخلي,X,other
.,PUNCT,punctuation
په,PRT,particle
پرمختللو,X,other
صنعتي,X,other
هیوادونو,NOUN,noun
کې,PRT,particle
اکثر,X,other
شرکتونه,ADJ,adjective
اوس,ADV,adverb
پدغو,DET,determiner
تکنالوژیو,X,other
باندې,X,other
تکیه,X,other
لري,VERB,verb
په,PRT,particle
ځانگړې,X,other
توگه,X,other
په,PRT,particle
خودکاره,X,other
بانکدارۍ,ADJ,adjective
او,CONJ,coordinating conjunction
خودکاره,CONJ,coordinating conjunction
صنایعو,ADJ,adjective
چې,PRT,particle
د,X,other
بشري,ADJ,adjective
قوې,ADJ,adjective
د,X,other
کموالي,X,other
له,PRT,particle
کبله,X,other
پانگوالو,X,other
ته,PRT,particle
زیاته,ADV,adverb
گټه,NOUN,noun
لري,VERB,verb
.,PUNCT,punctuation
پوهان,PUNCT,punctuation
پدې,ADJ,adjective
باور,X,other
دي,VERB,verb
چې,PRT,particle
د,X,other
٢٠٢٠,X,other
کال,NOUN,noun
په,PRT,particle
گډون,X,other
په,PRT,particle
راتلونکو,NOUN,noun
کلونو,NOUN,noun
کې,PRT,particle
به,PRT,particle
د,X,other
اټوماټیزیشن,X,other
یا,CONJ,coordinating conjunction
خودکارۍ,CONJ,coordinating conjunction
مفهوم,X,other
نور,NOUN,noun
هم,ADP,adposition
پرمختللو,X,other
تکنالوژیو,X,other
ته,PRT,particle
داخل,PRON,pronoun
شي,VERB,verb
او,CONJ,coordinating conjunction
د,X,other
بشر,X,other
په,PRT,particle
ژودنانه,X,other
کې,PRT,particle
به,PRT,particle
ښه,ADJ,adjective
بدلونونه,ADJ,adjective
او,CONJ,coordinating conjunction
زیاتې,CONJ,coordinating conjunction
اسانتیاوی,X,other
رامنځ,X,other
ته,PRT,particle
کړي,VERB,verb
.,PUNCT,punctuation
د,X,other
۵جي,X,other
شبکهد,X,other
پنځه,NUM,numeral
جي,NUM,numeral
تکنالوژي,NOUN,noun
په,PRT,particle
اوسني,X,other
وخت,NOUN,noun
کې,PRT,particle
د,X,other
بحثونو,X,other
عمده,X,other
موضوع,ADJ,adjective
ده,VERB,verb
چې,PRT,particle
د,X,other
بې,X,other
سیم,X,other
تکنالوژۍ,NOUN,noun
کې,PRT,particle
به,PRT,particle
ستر,PRT,particle
بدلون,ADJ,adjective
رامنځ,NOUN,noun
ته,PRT,particle
کړي,VERB,verb
.,PUNCT,punctuation
د,X,other
۵جي,X,other
تکنالوژي,NOUN,noun
په,PRT,particle
٢٠٢٠,X,other
کال,NOUN,noun
کې,PRT,particle
به,PRT,particle
په,PRT,particle
پراخه,X,other
توگه,X,other
رامنځ,X,other
ته,PRT,particle
شي,VERB,verb
،,PUNCT,punctuation
صنایع,X,other
او,CONJ,coordinating conjunction
مخابرات,NOUN,noun
به,PRT,particle
نور,PRT,particle
هم,ADP,adposition
گټور,X,other
کړي,VERB,verb
.,PUNCT,punctuation
په,PRT,particle
نتیجه,NOUN,noun
کې,PRT,particle
به,PRT,particle
صنایع,PRT,particle
په,PRT,particle
ځانگړې,X,other
توگه,X,other
د,X,other
هوښیارو,X,other
وسایلو,NOUN,noun
د,X,other
تولید,X,other
شرکتونه,X,other
لکه,X,other
موبایل,NOUN,noun
نوي,X,other
محصولات,NUM,numeral
چې,PRT,particle
د,X,other
۵جي,X,other
تکنالوژۍ,NOUN,noun
نه,PRT,particle
په,PRT,particle
کې,PRT,particle
کار,NOUN,noun
اخیستل,VERB,verb
شوی,VERB,verb
وي,X,other
بازار,X,other
ته,PRT,particle
وړاندې,ADP,adposition
کړي,VERB,verb
.,PUNCT,punctuation
۵جي,PUNCT,punctuation
به,PRT,particle
ډیر,ADJ,adjective
په,PRT,particle
زیات,DET,determiner
لوړ,X,other
سرعت,ADJ,adjective
او,CONJ,coordinating conjunction
لږ,ADJ,adjective
ځنډ,ADJ,adjective
سره,ADP,adposition
زیاتې,X,other
اسانتیاوی,X,other
رامنځ,X,other
ته,PRT,particle
کړي,VERB,verb
.,PUNCT,punctuation
په,PRT,particle
اټوماتیکه,X,other
توگه,X,other
چلیدونکي,X,other
موټر,X,other
او,CONJ,coordinating conjunction
له,PRT,particle
لرې,X,other
لارې,ADJ,adjective
څخه,ADP,adposition
د,X,other
روباټونو,X,other
په,PRT,particle
وسیله,X,other
د,X,other
جراحۍ,X,other
عملیات,X,other
د,X,other
۵جي,X,other
شبکې,X,other
لږ,ADJ,adjective
تر,ADP,adposition
لږه,ADJ,adjective
دوه,NUM,numeral
مورده,NUM,numeral
گڼل,X,other
شوي,VERB,verb
دي,VERB,verb
.,PUNCT,punctuation
د,X,other
۵جي,X,other
شبکې,X,other
سره,ADP,adposition
جوخت,X,other
هم,ADP,adposition
رامنځ,X,other
ته,PRT,particle
کیږي,VERB,verb
.,PUNCT,punctuation
د,X,other
په,PRT,particle
پرتله,NOUN,noun
چې,PRT,particle
اوس,ADV,adverb
رواج,X,other
ده,VERB,verb
درې,NUM,numeral
چنده,ADV,adverb
د,X,other
ډانلوډ,X,other
کولو,X,other
سرعت,X,other
زیاتوي,NOUN,noun
.,PUNCT,punctuation
مصنوعي,ADJ,adjective
هوښپه,ADJ,adjective
اکثرو,X,other
خودکارو,X,other
او,CONJ,coordinating conjunction
هوښیارو,CONJ,coordinating conjunction
وسایلو,NOUN,noun
کې,PRT,particle
په,PRT,particle
محدوده,X,other
توگه,X,other
د,X,other
مصنوعي,ADJ,adjective
هوښ,NOUN,noun
نه,PRT,particle
کار,NOUN,noun
اخیستل,VERB,verb
شوی,VERB,verb
دی,VERB,verb
چې,PRT,particle
د,X,other
څیرو,X,other
او,CONJ,coordinating conjunction
اواز,CONJ,coordinating conjunction
پیژندنه,NOUN,noun
یې,ADP,adposition
نموني,VERB,VERB
دي,VERB,verb
.,PUNCT,punctuation
خو,CONJ,coordinating conjunction
په,PRT,particle
راتلونکي,NOUN,noun
کال,NOUN,noun
کې,PRT,particle
به,PRT,particle
د,X,other
مصنوعي,ADJ,adjective
هوښ,NOUN,noun
تکنالوژي,NOUN,noun
له,PRT,particle
بل,CONJ,coordinating conjunction
هر,DET,determiner
وخت,NOUN,noun
څخه,ADP,adposition
زیاته,ADV,adverb
وکارول,X,other
شي,VERB,verb
.,PUNCT,punctuation
د,X,other
مصنوعي,ADJ,adjective
هوښ,NOUN,noun
په,PRT,particle
کارولو,VERB,verb
سره,ADP,adposition
به,PRT,particle
کمپیوترونه,NOUN,noun
ددې,X,other
توان,NOUN,noun
ولري,NOUN,noun
چې,PRT,particle
نړۍ,NOUN,noun
هم,ADP,adposition
هاغسې,X,other
وویني,X,other
او,CONJ,coordinating conjunction
ولولي,CONJ,coordinating conjunction
چې,PRT,particle
انسانان,NOUN,noun
یې,ADP,adposition
گوري,VERB,VERB
.,PUNCT,punctuation
پدې,PUNCT,punctuation
توگه,X,other
به,PRT,particle
کمپیوترونه,NOUN,noun
په,PRT,particle
زیات,DET,determiner
توان,NOUN,noun
د,X,other
هغو,PRON,pronoun
ډیرو,X,other
پیچلو,X,other
کارونو,X,other
سنجش,X,other
وکړي,VERB,verb
چې,PRT,particle
اوس,ADV,adverb
یې,ADP,adposition
د,X,other
انسان,NOUN,noun
مغازه,NOUN,noun
کوي,VERB,verb
.,PUNCT,punctuation
د,X,other
غږ,X,other
پیژندنې,NOUN,noun
تکنالوژي,NOUN,noun
او,CONJ,coordinating conjunction
په,PRT,particle
غږ,X,other
د,X,other
وسایلو,NOUN,noun
ادارهسیري,X,other
،,PUNCT,punctuation
الکسا,X,other
او,CONJ,coordinating conjunction
نور,CONJ,coordinating conjunction
هوښیار,ADJ,adjective
وسایل,ADJ,adjective
په,PRT,particle
غږ,X,other
باندې,NOUN,noun
د,X,other
وسایلو,NOUN,noun
د,X,other
اداره,X,other
کولو,NOUN,noun
د,X,other
تکنالوژۍ,NOUN,noun
څرگندې,X,other
نمونې,X,other
دي,VERB,verb
،,PUNCT,punctuation
خو,CONJ,coordinating conjunction
لاهم,CONJ,coordinating conjunction
په,PRT,particle
بشپړه,ADJ,adjective
د,X,other
بشر,X,other
اړیتاوی,NOUN,noun
نه,PRT,particle
پوره,X,other
کوي,VERB,verb
.,PUNCT,punctuation
د,X,other
مصنوعي,ADJ,adjective
هوښ,NOUN,noun
د,X,other
تکنالوژۍ,NOUN,noun
سره,ADP,adposition
جوخت,X,other
تمه,X,other
ده,VERB,verb
چې,PRT,particle
په,PRT,particle
نویو,X,other
هوښیارو,X,other
وسایلو,NOUN,noun
کې,PRT,particle
په,PRT,particle
راتلونکي,NOUN,noun
کال,NOUN,noun
کې,PRT,particle
په,PRT,particle
غږ,X,other
باندې,NOUN,noun
د,X,other
وسایلو,NOUN,noun
د,X,other
کنترول,X,other
له,PRT,particle
تکنالوژۍ,NOUN,noun
نه,PRT,particle
پراخ,X,other
کار,NOUN,noun
واخیستل,VERB,verb
شي,VERB,verb
.,PUNCT,punctuation
د,X,other
"""",PUNCT,punctuation
عصبي,PUNCT,punctuation
-,PUNCT,punctuation
ژبنیو,PUNCT,punctuation
پروگرامونو,NOUN,noun
"""",PUNCT,punctuation
نامه,X,other
لاندې,ADP,adposition
به,PRT,particle
کمپیوترونه,NOUN,noun
او,CONJ,coordinating conjunction
نوي,CONJ,coordinating conjunction
سیستمونه,NUM,numeral
په,PRT,particle
دقیقه,NOUN,noun
توگه,X,other
غږ,X,other
تشخیص,NOUN,noun
کړي,VERB,verb
چې,PRT,particle
یواځې,ADV,adverb
د,X,other
غږ,X,other
په,PRT,particle
لوړوالي,X,other
،,PUNCT,punctuation
اهنگ,NOUN,noun
او,CONJ,coordinating conjunction
ژورتیا,CONJ,coordinating conjunction
پورې,X,other
محدود,X,other
نه,PRT,particle
وي,X,other
بلکه,X,other
د,X,other
هغې,PRON,pronoun
مفهوم,X,other
او,CONJ,coordinating conjunction
دوه,NUM,numeral
گونې,NUM,numeral
معناوی,X,other
به,PRT,particle
هم,ADP,adposition
تفکیک,X,other
کړي,VERB,verb
.,PUNCT,punctuation
د,X,other
افغانستان,NOUN,proper noun
د,X,other
مخابراتو,X,other
او,CONJ,coordinating conjunction
معلوماتي,CONJ,coordinating conjunction
ټکنالوژۍ,X,other
وزارت,NOUN,noun
،,PUNCT,punctuation
د,X,other
سلام,X,other
مخابراتي,NOUN,noun
شرکت,X,other
ته,PRT,particle
د,X,other
وسلهوالو,X,other
طالبانو,NOUN,proper noun
د,X,other
ګواښ,X,other
په,PRT,particle
غبرګون,X,other
کې,PRT,particle
وايي,VERB,verb
،,PUNCT,punctuation
چې,PRT,particle
دا,DET,determiner
ګواښونه,X,other
د,X,other
یاد,X,other
شرکت,X,other
د,X,other
فعالیت,X,other
مخه,ADP,adposition
نهشي,NOUN,noun
نیولی,X,other
.,PUNCT,punctuation
د,X,other
دغه,DET,determiner
وزارت,NOUN,noun
سرپرست,NOUN,noun
فهیم,NOUN,noun
هاشمي,NOUN,noun
،,PUNCT,punctuation
چې,PRT,particle
د,X,other
سلام,X,other
مخابراتي,NOUN,noun
شرکت,X,other
د,X,other
بورډ,X,other
رئیس,NOUN,noun
هم,ADP,adposition
دی,VERB,verb
،,PUNCT,punctuation
د,X,other
دوشنبې,X,other
په,PRT,particle
ورځ,NOUN,noun
(,PUNCT,punctuation
وږي,PUNCT,punctuation
۴مه,X,other
),PUNCT,punctuation
وویل,VERB,verb
،,PUNCT,punctuation
چې,PRT,particle
د,X,other
سلام,X,other
شرکت,NOUN,noun
به,PRT,particle
خپلو,ADJ,adjective
فعالیتونو,NOUN,noun
ته,PRT,particle
دوام,PRON,pronoun
ورکړي,NOUN,noun
او,CONJ,coordinating conjunction
"""",PUNCT,punctuation
هیڅ,DET,determiner
ډول,DET,determiner
ګواښ,NOUN,noun
به,PRT,particle
د,X,other
دغه,DET,determiner
شرکت,PRON,pronoun
د,X,other
فعالیت,X,other
مخه,ADP,adposition
ډپ,NOUN,noun
نهکړي,X,other
وسلهوالو,X,other
طالبانو,NOUN,proper noun
د,X,other
سلام,X,other
مخابراتي,NOUN,noun
شرکت,X,other
ته,PRT,particle
ګواښ,PRON,pronoun
کړی,VERB,verb
،,PUNCT,punctuation
چې,PRT,particle
پر,PRT,particle
دفترونو,X,other
،,PUNCT,punctuation
کارکوونکو,X,other
او,CONJ,coordinating conjunction
پایو,CONJ,coordinating conjunction
باندې,X,other
به,PRT,particle
یې,ADP,adposition
بریدونه,NOUN,noun
وکړي,VERB,verb
.,PUNCT,punctuation
د,X,other
مخابراتو,X,other
او,CONJ,coordinating conjunction
ټکنالوژۍ,CONJ,coordinating conjunction
وزارت,NOUN,noun
سرپرست,NOUN,noun
زیاته,ADV,adverb
کړه,VERB,verb
،,PUNCT,punctuation
چې,PRT,particle
د,X,other
سلام,X,other
مخابراتي,NOUN,noun
شرکت,X,other
د,X,other
دفترونو,X,other
او,CONJ,coordinating conjunction
کارکوونکو,CONJ,coordinating conjunction
د,X,other
امنیت,NOUN,noun
ساتلو,X,other
لپاره,X,other
به,PRT,particle
لازم,PRT,particle
اقدامات,ADJ,adjective
وشي,VERB,verb
.,PUNCT,punctuation
د,X,other
وسلهوالو,X,other
طالبانو,NOUN,proper noun
په,PRT,particle
اعلامیه,X,other
کې,PRT,particle
،,PUNCT,punctuation
چې,PRT,particle
د,X,other
دوشنبې,X,other
په,PRT,particle
ورځ,NOUN,noun
نشر,NOUN,noun
شوې,VERB,verb
راغلي,VERB,verb
:,PUNCT,punctuation
"""",PUNCT,punctuation
له,PRT,particle
دې,PRON,pronoun
وروسته,PRON,pronoun
د,X,other
دغه,DET,determiner
مخابراتي,PRON,pronoun
شرکت,X,other
مراکز,NOUN,noun
او,CONJ,coordinating conjunction
پايې,CONJ,coordinating conjunction
(,PUNCT,punctuation
ټاورونه,PUNCT,punctuation
),PUNCT,punctuation
د,X,other
مجاهدينو,X,other
لپاره,X,other
د,X,other
نظامي,X,other
هدف,ADJ,adjective
په,PRT,particle
توګه,X,other
اعلانېږي,NOUN,noun
،,PUNCT,punctuation
کوم,VERB,verb
فایبر,X,other
چي,X,other
د,X,other
انټرنیټ,NOUN,noun
لپاره,X,other
دغه,DET,determiner
شرکت,PRON,pronoun
تر,ADP,adposition
ځمکه,X,other
لاندې,ADP,adposition
غځولی,X,other
قطع,X,other
کېږي,VERB,verb
،,PUNCT,punctuation
له,PRT,particle
پرسونل,X,other
،,PUNCT,punctuation
وسائلو,X,other
او,CONJ,coordinating conjunction
وسائطو,CONJ,coordinating conjunction
سره,ADP,adposition
به,PRT,particle
يې,PRT,particle
د,X,other
استخباراتي,X,other
