word,tag,pos
مدور,ADJ,adjective
مدون,ADJ,adjective
مديون,ADJ,adjective
مذبذب,ADJ,adjective
مذکر,ADJ,adjective
مذهبي,ADJ,adjective
مرادف,ADJ,adjective
مربوط,ADJ,adjective
مخکنی,ADJ,adjective
مرتجع,ADJ,adjective
مخفي,ADJ,adjective
مخصوص,ADJ,adjective
محفوظ,ADJ,adjective
محقر,ADJ,adjective
محکم,ADJ,adjective
محکوم,ADJ,adjective
محلي,ADJ,adjective
محول,ADJ,adjective
محيل,ADJ,adjective
مخاصم,ADJ,adjective
مخاطب,ADJ,adjective
مخالف,ADJ,adjective
مخاوی,ADJ,adjective
مختار,ADJ,adjective
مختصر,ADJ,adjective
مختل,ADJ,adjective
مختلط,ADJ,adjective
مختلف,ADJ,adjective
مختلونی,ADJ,adjective
مختنق,ADJ,adjective
مختورن,ADJ,adjective
مختوری,ADJ,adjective
مخرب,ADJ,adjective
مخروج,ADJ,adjective
مخروطي,ADJ,adjective
مخفف,ADJ,adjective
مرتد,ADJ,adjective
مرتفع,ADJ,adjective
مرتکب,ADJ,adjective
مسبع,ADJ,adjective
مست,ADJ,adjective
مستانه,ADJ,adjective
مستبد,ADJ,adjective
مستتر,ADJ,adjective
مستثنی,ADJ,adjective
مستحضر,ADJ,adjective
مستحق,ADJ,adjective
مستحکم,ADJ,adjective
مسترد,ADJ,adjective
مستريح,ADJ,adjective
مستعار,ADJ,adjective
مستعجل,ADJ,adjective
مستعد,ADJ,adjective
مستعفی,ADJ,adjective
مستعمل,ADJ,adjective
مستغني,ADJ,adjective
مستفيد,ADJ,adjective
مستقل,ADJ,adjective
مستقيم,ADJ,adjective
مستلزم,ADJ,adjective
مستمري,ADJ,adjective
مستند,ADJ,adjective
مساوي,ADJ,adjective
مساعد,ADJ,adjective
مزی,ADJ,adjective
مزين,ADJ,adjective
مرجح,ADJ,adjective
مرچکی,ADJ,adjective
مرحوم,ADJ,adjective
مردار,ADJ,adjective
مردود,ADJ,adjective
مرصع,ADJ,adjective
مرضي,ADJ,adjective
مرغلين,ADJ,adjective
مرغيڼا,ADJ,adjective
مرفه,ADJ,adjective
مرکب,ADJ,adjective
مسجع,ADJ,adjective
مرکزي,ADJ,adjective
مرموز,ADJ,adjective
مرهون,ADJ,adjective
مروج,ADJ,adjective
مرور,ADJ,adjective
مريڼه,ADJ,adjective
مرګونی,ADJ,adjective
مزاحم,ADJ,adjective
مزخرف,ADJ,adjective
مزروعي,ADJ,adjective
مزرين,ADJ,adjective
مزمن,ADJ,adjective
مرمري,ADJ,adjective
محظوظ,ADJ,adjective
معلوم,ADJ,adjective
معمور,ADJ,adjective
منقبض,ADJ,adjective
منقرض,ADJ,adjective
منقش,ADJ,adjective
منقضي,ADJ,adjective
منقطع,ADJ,adjective
منقلب,ADJ,adjective
منقول,ADJ,adjective
منکر,ADJ,adjective
منکس,ADJ,adjective
منکشف,ADJ,adjective
منکوحه,ADJ,adjective
منهدم,ADJ,adjective
منور,ADJ,adjective
منونکی,ADJ,adjective
منونی,ADJ,adjective
منځنی,ADJ,adjective
منځوی,ADJ,adjective
منځګوړی,ADJ,adjective
منډ,ADJ,adjective
منډخولی,ADJ,adjective
منګ,ADJ,adjective
منګنی,ADJ,adjective
مه لقا,ADJ,adjective
منفي,ADJ,adjective
مهذب,ADJ,adjective
منفور,ADJ,adjective
منفعک,ADJ,adjective
منحني,ADJ,adjective
منحوس,ADJ,adjective
مندرج,ADJ,adjective
مندری,ADJ,adjective
منزجر,ADJ,adjective
منزوي,ADJ,adjective
منسوب,ADJ,adjective
منسوخ,ADJ,adjective
منصرف,ADJ,adjective
منصوب,ADJ,adjective
منطبق,ADJ,adjective
منطقوي,ADJ,adjective
منطقي,ADJ,adjective
منظم,ADJ,adjective
منظور,ADJ,adjective
منظوم,ADJ,adjective
منعقد,ADJ,adjective
منعکس,ADJ,adjective
منعکوس,ADJ,adjective
منفجر,ADJ,adjective
منفرج ازاويه,ADJ,adjective
منفرد,ADJ,adjective
منفصل,ADJ,adjective
منفعل,ADJ,adjective
مهربان,ADJ,adjective
مهلک,ADJ,adjective
مهم,ADJ,adjective
موعود,ADJ,adjective
موفق,ADJ,adjective
موقت,ADJ,adjective
موقتي,ADJ,adjective
موقر,ADJ,adjective
موقوته,ADJ,adjective
موقوف,ADJ,adjective
موکول,ADJ,adjective
مولد,ADJ,adjective
مومن,ADJ,adjective
موميايي,ADJ,adjective
مومړ,ADJ,adjective
مونث,ADJ,adjective
مونج,ADJ,adjective
موندری,ADJ,adjective
مونډی,ADJ,adjective
موهوم,ADJ,adjective
مويد,ADJ,adjective
موډرن,ADJ,adjective
موړ,ADJ,adjective
موړسترګی,ADJ,adjective
ميارن,ADJ,adjective
مياشتنی,ADJ,adjective
موظف,ADJ,adjective
موسوم,ADJ,adjective
موسمي,ADJ,adjective
موزي,ADJ,adjective
مهمل,ADJ,adjective
مهيا,ADJ,adjective
مهيب,ADJ,adjective
مهيج,ADJ,adjective
مهين,ADJ,adjective
مهينه,ADJ,adjective
مواجه,ADJ,adjective
موازي,ADJ,adjective
موافق,ADJ,adjective
موتوريزه,ADJ,adjective
موثر,ADJ,adjective
منحل,ADJ,adjective
موثق,ADJ,adjective
موجز,ADJ,adjective
موجه,ADJ,adjective
موجوده,ADJ,adjective
مودب,ADJ,adjective
موذي,ADJ,adjective
مورزاده,ADJ,adjective
مورنی,ADJ,adjective
موروثي,ADJ,adjective
موزادی,ADJ,adjective
موزاييک,ADJ,adjective
موزون,ADJ,adjective
موجد,ADJ,adjective
معمر,ADJ,adjective
منحط,ADJ,adjective
منحرف,ADJ,adjective
مقارن,ADJ,adjective
مقبوض,ADJ,adjective
مقتدر,ADJ,adjective
مقتضي,ADJ,adjective
مقتول,ADJ,adjective
مقدس,ADJ,adjective
مقدم,ADJ,adjective
مقدماتي,ADJ,adjective
مقدوني,ADJ,adjective
مقر,ADJ,adjective
مقرب,ADJ,adjective
مقرر,ADJ,adjective
مقطر,ADJ,adjective
مقفا,ADJ,adjective
مقفی,ADJ,adjective
مقلوب,ADJ,adjective
مقناطيسي,ADJ,adjective
مقنع,ADJ,adjective
مقوي,ADJ,adjective
مقيد,ADJ,adjective
مکار,ADJ,adjective
مکتبي,ADJ,adjective
مکتوم,ADJ,adjective
مقاربتي,ADJ,adjective
مکدر,ADJ,adjective
مقابل,ADJ,adjective
مفلوک,ADJ,adjective
معمول,ADJ,adjective
معمولي,ADJ,adjective
معنوي,ADJ,adjective
معنی داره,ADJ,adjective
معياري,ADJ,adjective
معين,ADJ,adjective
معيوب,ADJ,adjective
مغاير,ADJ,adjective
مغذي,ADJ,adjective
مغرض,ADJ,adjective
مغرور,ADJ,adjective
مغزن,ADJ,adjective
مغشوش,ADJ,adjective
مغلق,ADJ,adjective
مغلوب,ADJ,adjective
مغولی,ADJ,adjective
مفت,ADJ,adjective
مفرد,ADJ,adjective
مفصل,ADJ,adjective
مفعولي,ADJ,adjective
مفغن,ADJ,adjective
مفلس,ADJ,adjective
مفلوج,ADJ,adjective
مفيد,ADJ,adjective
مکرجن,ADJ,adjective
مکرر,ADJ,adjective
مکرم,ADJ,adjective
ممد,ADJ,adjective
ممدوح,ADJ,adjective
ممدود,ADJ,adjective
ممغوړن,ADJ,adjective
ممکن,ADJ,adjective
مملکتي,ADJ,adjective
ممنوع,ADJ,adjective
ممنون,ADJ,adjective
منادی,ADJ,adjective
مناسب,ADJ,adjective
منانی,ADJ,adjective
منت بار,ADJ,adjective
منتج,ADJ,adjective
منتخب,ADJ,adjective
منتشر,ADJ,adjective
منتظر,ADJ,adjective
منتقل,ADJ,adjective
منتهي,ADJ,adjective
منثور,ADJ,adjective
منجر,ADJ,adjective
منجمد,ADJ,adjective
منجوړا,ADJ,adjective
منجی,ADJ,adjective
ممثل,ADJ,adjective
ممتنع,ADJ,adjective
ممتد,ADJ,adjective
ممتاز,ADJ,adjective
مکروبي,ADJ,adjective
مکروه,ADJ,adjective
مکلف,ADJ,adjective
مکمل,ADJ,adjective
مکوټ,ADJ,adjective
ملاست,ADJ,adjective
ملاشينی,ADJ,adjective
ملاماتوونکی,ADJ,adjective
ملايم,ADJ,adjective
ملتفت,ADJ,adjective
ملتوي,ADJ,adjective
منحصر,ADJ,adjective
ملزم,ADJ,adjective
ملعون,ADJ,adjective
ملغی,ADJ,adjective
ملفوظ,ADJ,adjective
ملفوف,ADJ,adjective
ملقب,ADJ,adjective
ملکوتي,ADJ,adjective
ملکي,ADJ,adjective
ملوث,ADJ,adjective
ملي,ADJ,adjective
مماثل,ADJ,adjective
مماسي,ADJ,adjective
ملزوم,ADJ,adjective
ميانه,ADJ,adjective
محصور,ADJ,adjective
محسوس,ADJ,adjective
کښتنی,ADJ,adjective
کښکر,ADJ,adjective
کېج,ADJ,adjective
کېمياوي,ADJ,adjective
لاپک,ADJ,adjective
لاپوک,ADJ,adjective
لاتيني,ADJ,adjective
لاجوردي,ADJ,adjective
لاري لاري,ADJ,adjective
لاريز,ADJ,adjective
لازم,ADJ,adjective
لازمي,ADJ,adjective
لاس تنګی,ADJ,adjective
لالهانده,ADJ,adjective
لامده,ADJ,adjective
لامذهبه,ADJ,adjective
لاندنی,ADJ,adjective
لانده,ADJ,adjective
لاهو,ADJ,adjective
لايتناهي,ADJ,adjective
لايق,ADJ,adjective
لاينحل,ADJ,adjective
لايۀ,ADJ,adjective
کړېزن,ADJ,adjective
لاډنګ,ADJ,adjective
کړوپ,ADJ,adjective
کړند,ADJ,adjective
کونډی,ADJ,adjective
کوټه,ADJ,adjective
کوړمن,ADJ,adjective
کوړنګ,ADJ,adjective
کوړه,ADJ,adjective
کوړۍ کوړۍ,ADJ,adjective
کوږ,ADJ,adjective
کوڼ,ADJ,adjective
کيفي,ADJ,adjective
کيليوالي,ADJ,adjective
کينه کښ,ADJ,adjective
کيوبايي,ADJ,adjective
کيڼ,ADJ,adjective
کډن,ADJ,adjective
کړتن,ADJ,adjective
کړسند,ADJ,adjective
کړک,ADJ,adjective
کړکه,ADJ,adjective
کړکی,ADJ,adjective
کړکېچن,ADJ,adjective
کړم,ADJ,adjective
کړمن,ADJ,adjective
کړمنېزن,ADJ,adjective
کړنګ,ADJ,adjective
لاډيز,ADJ,adjective
لاړن,ADJ,adjective
لاړو,ADJ,adjective
لک وبوک,ADJ,adjective
لل,ADJ,adjective
لل ګل,ADJ,adjective
للمي,ADJ,adjective
لماست,ADJ,adjective
لمپاری,ADJ,adjective
لمچړ,ADJ,adjective
لمرختيځ,ADJ,adjective
لمرنی,ADJ,adjective
لمريز,ADJ,adjective
لمغړی,ADJ,adjective
لمټک,ADJ,adjective
لنډ,ADJ,adjective
لنډاک,ADJ,adjective
لنډغر,ADJ,adjective
لنډکی,ADJ,adjective
لنډهر,ADJ,adjective
لنډور,ADJ,adjective
لنډی,ADJ,adjective
لو,ADJ,adjective
لوات,ADJ,adjective
لواړ,ADJ,adjective
لوپه لوپه,ADJ,adjective
لک,ADJ,adjective
لفظي,ADJ,adjective
لغړندوکی,ADJ,adjective
لغوړن,ADJ,adjective
لاړيجن,ADJ,adjective
لاېزال,ADJ,adjective
لب,ADJ,adjective
لباسي,ADJ,adjective
لبغړی,ADJ,adjective
لبډر,ADJ,adjective
لپوس,ADJ,adjective
لپړو,ADJ,adjective
لت پت,ADJ,adjective
لتاړ,ADJ,adjective
لچر,ADJ,adjective
کوميک,ADJ,adjective
لچلن,ADJ,adjective
لربر,ADJ,adjective
لرغن,ADJ,adjective
لرغون,ADJ,adjective
لرغونی,ADJ,adjective
لرګين,ADJ,adjective
لرې,ADJ,adjective
لژند,ADJ,adjective
لشماتي,ADJ,adjective
لعين,ADJ,adjective
لعړ,ADJ,adjective
لغوه,ADJ,adjective
لر,ADJ,adjective
لوت,ADJ,adjective
کومکي,ADJ,adjective
کوز,ADJ,adjective
کارګري,ADJ,adjective
کاسيره,ADJ,adjective
کاشي,ADJ,adjective
کاغذي,ADJ,adjective
کافي,ADJ,adjective
کالنۍ,ADJ,adjective
کامل,ADJ,adjective
کامياب,ADJ,adjective
کاني,ADJ,adjective
کاړي واړي,ADJ,adjective
کبرجن,ADJ,adjective
کتابي,ADJ,adjective
کتاني,ADJ,adjective
کثيف,ADJ,adjective
کچل,ADJ,adjective
کچه,ADJ,adjective
کرار,ADJ,adjective
کراره,ADJ,adjective
کراسته,ADJ,adjective
کرايي,ADJ,adjective
کراړ,ADJ,adjective
کرپند,ADJ,adjective
کردي,ADJ,adjective
کاري,ADJ,adjective
کرغشی,ADJ,adjective
کاذب,ADJ,adjective
کاجر,ADJ,adjective
قدرمن,ADJ,adjective
قدما,ADJ,adjective
قديم,ADJ,adjective
قديمي,ADJ,adjective
قراردادي,ADJ,adjective
قره قلي,ADJ,adjective
قريب,ADJ,adjective
قشري,ADJ,adjective
قصدي,ADJ,adjective
قضايي,ADJ,adjective
قطبي,ADJ,adjective
قطعي,ADJ,adjective
قلابي,ADJ,adjective
قلمي,ADJ,adjective
قمري,ADJ,adjective
قهرجن,ADJ,adjective
قهقرايي,ADJ,adjective
قهوه يي,ADJ,adjective
قومي,ADJ,adjective
قوي,ADJ,adjective
قياسي,ADJ,adjective
قيمتي,ADJ,adjective
ک,ADJ,adjective
کاخت,ADJ,adjective
کرغېړن,ADJ,adjective
کرکجن,ADJ,adjective
کرنډ,ADJ,adjective
کمرنګه,ADJ,adjective
کمزوره,ADJ,adjective
کمزوری,ADJ,adjective
کمکی,ADJ,adjective
کمونيستي,ADJ,adjective
کمي,ADJ,adjective
کميک,ADJ,adjective
کنجوس,ADJ,adjective
کنسکی,ADJ,adjective
کنډول,ADJ,adjective
کنګال,ADJ,adjective
کهاله,ADJ,adjective
کواټه,ADJ,adjective
کوت,ADJ,adjective
کوچنوټی,ADJ,adjective
کوچنی,ADJ,adjective
کوچي,ADJ,adjective
کوچيانی,ADJ,adjective
کورغ,ADJ,adjective
کورمک,ADJ,adjective
کورنی,ADJ,adjective
کوره,ADJ,adjective
کوروالا,ADJ,adjective
کمبره,ADJ,adjective
کمالداره,ADJ,adjective
کم خرڅه,ADJ,adjective
کم بخته,ADJ,adjective
کرنګ,ADJ,adjective
کروړ,ADJ,adjective
کروی,ADJ,adjective
کروېږه,ADJ,adjective
کرياب,ADJ,adjective
کرۍ,ADJ,adjective
کسبي,ADJ,adjective
کسري,ADJ,adjective
کشر,ADJ,adjective
کشری,ADJ,adjective
کشړوپ,ADJ,adjective
کوسه,ADJ,adjective
ککړ,ADJ,adjective
کلاسيک,ADJ,adjective
کلانکاره,ADJ,adjective
کلپ,ADJ,adjective
کلتوري,ADJ,adjective
کلک,ADJ,adjective
کلنګي,ADJ,adjective
کلنی,ADJ,adjective
کلوچ,ADJ,adjective
کلي,ADJ,adjective
کم,ADJ,adjective
کم اصل,ADJ,adjective
کلابند,ADJ,adjective
محشور,ADJ,adjective
لوچک,ADJ,adjective
لوغزه,ADJ,adjective
متمارض,ADJ,adjective
متمايز,ADJ,adjective
متمايل,ADJ,adjective
متمتع,ADJ,adjective
متمدن,ADJ,adjective
متمرد,ADJ,adjective
متمرکز,ADJ,adjective
متملق,ADJ,adjective
متمم,ADJ,adjective
متمني,ADJ,adjective
متمول,ADJ,adjective
متناسب,ADJ,adjective
متناقض,ADJ,adjective
متناهي,ADJ,adjective
متناوب,ADJ,adjective
متنبه,ADJ,adjective
متنفر,ADJ,adjective
متنقد,ADJ,adjective
متنوع,ADJ,adjective
متهم,ADJ,adjective
متهور,ADJ,adjective
متواتر,ADJ,adjective
متوازي,ADJ,adjective
متمادي,ADJ,adjective
متواضع,ADJ,adjective
متکي,ADJ,adjective
متکفل,ADJ,adjective
متضمن,ADJ,adjective
متعاهد,ADJ,adjective
متعدد,ADJ,adjective
متعدي,ADJ,adjective
متعرض,ADJ,adjective
متعصب,ADJ,adjective
متعفن,ADJ,adjective
متعلق,ADJ,adjective
متعهد,ADJ,adjective
متغيرا,ADJ,adjective
متفاوت,ADJ,adjective
متفرق,ADJ,adjective
متفرقه,ADJ,adjective
متفق,ADJ,adjective
متفکر,ADJ,adjective
متقابل,ADJ,adjective
متقاعد,ADJ,adjective
متقبل,ADJ,adjective
متقدم,ADJ,adjective
متقلب,ADJ,adjective
متقي,ADJ,adjective
متکامل,ADJ,adjective
متکبر,ADJ,adjective
متکلم,ADJ,adjective
متوالي,ADJ,adjective
متوجه,ADJ,adjective
متوحش,ADJ,adjective
مجسم,ADJ,adjective
مجعد,ADJ,adjective
مجلد,ADJ,adjective
مجلل,ADJ,adjective
مجمل,ADJ,adjective
مجهز,ADJ,adjective
مجهول,ADJ,adjective
مجهول الهويه,ADJ,adjective
محاط,ADJ,adjective
محال,ADJ,adjective
محتاج,ADJ,adjective
محتاط,ADJ,adjective
محترم,ADJ,adjective
محتمل,ADJ,adjective
محجوب,ADJ,adjective
محدب,ADJ,adjective
محدود,ADJ,adjective
محذوف,ADJ,adjective
محرک,ADJ,adjective
محرم,ADJ,adjective
محروم,ADJ,adjective
محزون,ADJ,adjective
محسک,ADJ,adjective
مجزا,ADJ,adjective
مجروح,ADJ,adjective
مجرد,ADJ,adjective
مجرب,ADJ,adjective
متورم,ADJ,adjective
متوسط,ADJ,adjective
متوسل,ADJ,adjective
متوطن,ADJ,adjective
متوفی,ADJ,adjective
متوقع,ADJ,adjective
متوقف,ADJ,adjective
متولد,ADJ,adjective
متيازن,ADJ,adjective
متيقن,ADJ,adjective
متين,ADJ,adjective
متضرر,ADJ,adjective
متړ,ADJ,adjective
مثبت,ADJ,adjective
مثمر,ADJ,adjective
مجاز,ADJ,adjective
مجازي,ADJ,adjective
مجاني,ADJ,adjective
مجاهد,ADJ,adjective
مجاور,ADJ,adjective
مجبور,ADJ,adjective
مجدد,ADJ,adjective
مجذوب,ADJ,adjective
مجذوم,ADJ,adjective
متی,ADJ,adjective
لوستی,ADJ,adjective
متضاد,ADJ,adjective
متصاعد,ADJ,adjective
لټ,ADJ,adjective
لټنډ,ADJ,adjective
لټېره,ADJ,adjective
لڅ,ADJ,adjective
لڅ پڅ,ADJ,adjective
لڅ لپړ,ADJ,adjective
لڅ لغړ,ADJ,adjective
لډر,ADJ,adjective
لړاک,ADJ,adjective
لړاوو,ADJ,adjective
لړزاند,ADJ,adjective
لړزنده,ADJ,adjective
لړومی,ADJ,adjective
لږ,ADJ,adjective
لګاوو,ADJ,adjective
لګيا,ADJ,adjective
لېت پېت,ADJ,adjective
لېوال,ADJ,adjective
لېونسدی,ADJ,adjective
لېونغرتی,ADJ,adjective
لېونغری,ADJ,adjective
لېونی,ADJ,adjective
مات,ADJ,adjective
ليه,ADJ,adjective
مادي,ADJ,adjective
لينګور,ADJ,adjective
ليلامي,ADJ,adjective
لوغړن,ADJ,adjective
لوکس,ADJ,adjective
لولپاند,ADJ,adjective
لولپه,ADJ,adjective
لومړنی,ADJ,adjective
لومړی,ADJ,adjective
لوند,ADJ,adjective
لوند خيشت,ADJ,adjective
لونټه,ADJ,adjective
لونټی مونټی,ADJ,adjective
لونډ,ADJ,adjective
لونډه,ADJ,adjective
لوي,ADJ,adjective
لوټي,ADJ,adjective
لوڅ,ADJ,adjective
لوڅکی,ADJ,adjective
لوړ,ADJ,adjective
لوګن,ADJ,adjective
لوی,ADJ,adjective
ليت,ADJ,adjective
ليت پيت,ADJ,adjective
ليتری,ADJ,adjective
ليرې,ADJ,adjective
لينډا,ADJ,adjective
مارپيچ,ADJ,adjective
ماشي,ADJ,adjective
ماشيني,ADJ,adjective
متجسس,ADJ,adjective
متحجر,ADJ,adjective
متحد,ADJ,adjective
متحدالمال,ADJ,adjective
متحرک,ADJ,adjective
متحول,ADJ,adjective
متحير,ADJ,adjective
متخاصم,ADJ,adjective
متداول,ADJ,adjective
متدين,ADJ,adjective
مترادف,ADJ,adjective
متراکم,ADJ,adjective
متردد,ADJ,adjective
مترقي,ADJ,adjective
متروک,ADJ,adjective
متري,ADJ,adjective
متزلزل,ADJ,adjective
متساوي,ADJ,adjective
متشبث,ADJ,adjective
متشتت,ADJ,adjective
متشکر,ADJ,adjective
متشکل,ADJ,adjective
متشنج,ADJ,adjective
متجاوز,ADJ,adjective
متجانس,ADJ,adjective
متتبع,ADJ,adjective
متبحر,ADJ,adjective
ماضي,ADJ,adjective
مافوق,ADJ,adjective
مالامال,ADJ,adjective
مالي,ADJ,adjective
مالګن,ADJ,adjective
مالګين,ADJ,adjective
ماموس,ADJ,adjective
مانوس,ADJ,adjective
مايل,ADJ,adjective
مايوس,ADJ,adjective
مباح,ADJ,adjective
متصل,ADJ,adjective
مبارز,ADJ,adjective
مبتذل,ADJ,adjective
مبتکر,ADJ,adjective
مبتلا,ADJ,adjective
مبرم,ADJ,adjective
مبهم,ADJ,adjective
متاثر,ADJ,adjective
متاخر,ADJ,adjective
متاذی,ADJ,adjective
متاز,ADJ,adjective
متاسف,ADJ,adjective
متاهل,ADJ,adjective
مبارک,ADJ,adjective
ميتوډيک,ADJ,adjective
ميخانيکي,ADJ,adjective
ميخوش,ADJ,adjective
ډبل,ADJ,adjective
ډبډبنی,ADJ,adjective
ډر,ADJ,adjective
ډراماتيک,ADJ,adjective
ډرپل,ADJ,adjective
ډک,ADJ,adjective
ډله ييز,ADJ,adjective
ډنګر,ADJ,adjective
ډوب,ADJ,adjective
ډوبلن,ADJ,adjective
ډوبله,ADJ,adjective
ډوره,ADJ,adjective
ډوکره,ADJ,adjective
ډولي,ADJ,adjective
ډونډ,ADJ,adjective
ډوډۍ غړپ,ADJ,adjective
ډوډۍ مار,ADJ,adjective
ډېوالي,ADJ,adjective
ړانده,ADJ,adjective
ړت پت,ADJ,adjective
ړچ,ADJ,adjective
ړچند,ADJ,adjective
ړنګ,ADJ,adjective
ډبرين,ADJ,adjective
ړومبنی,ADJ,adjective
ډب,ADJ,adjective
ډارېدونکی,ADJ,adjective
څلورپښی,ADJ,adjective
څلورستايه,ADJ,adjective
څلورم,ADJ,adjective
څلويښتم,ADJ,adjective
څليرويشتم,ADJ,adjective
څموڅی,ADJ,adjective
څو,ADJ,adjective
څواړخيز,ADJ,adjective
څورب,ADJ,adjective
څورلسم,ADJ,adjective
څورنګ,ADJ,adjective
څومټی,ADJ,adjective
څوڅلن,ADJ,adjective
څوړ,ADJ,adjective
څوګير,ADJ,adjective
څوڼور,ADJ,adjective
څيرونکی,ADJ,adjective
څيري پيري,ADJ,adjective
څيرې,ADJ,adjective
څټ مخی,ADJ,adjective
څڅنده,ADJ,adjective
څړپن,ADJ,adjective
ډارېدلی,ADJ,adjective
ډانګه يي,ADJ,adjective
ړومبی,ADJ,adjective
ړوند,ADJ,adjective
ږغن,ADJ,adjective
ګادړ,ADJ,adjective
ګاړګوټی,ADJ,adjective
ګپاوو,ADJ,adjective
ګرامري,ADJ,adjective
ګران,ADJ,adjective
ګران بيه,ADJ,adjective
ګرج,ADJ,adjective
ګرده,ADJ,adjective
ګردی,ADJ,adjective
ګرم,ADJ,adjective
ګرو,ADJ,adjective
ګرومجن,ADJ,adjective
ګرځند,ADJ,adjective
ګرګره,ADJ,adjective
ګلابي,ADJ,adjective
ګلالی,ADJ,adjective
ګلداره,ADJ,adjective
ګمراه,ADJ,adjective
ګمکي,ADJ,adjective
ګمنام,ADJ,adjective
ګناهکار,ADJ,adjective
ګنده,ADJ,adjective
ګنس,ADJ,adjective
ښېرازه,ADJ,adjective
ښی,ADJ,adjective
ښځينه,ADJ,adjective
ښځنوکی,ADJ,adjective
ږغيز,ADJ,adjective
ښاخلن,ADJ,adjective
ښاد,ADJ,adjective
ښادمن,ADJ,adjective
ښارنی,ADJ,adjective
ښاري,ADJ,adjective
ښاغلی,ADJ,adjective
ښالنګ,ADJ,adjective
ښايسته,ADJ,adjective
ښايي,ADJ,adjective
ښخ,ADJ,adjective
څک اروا,ADJ,adjective
ښرنه,ADJ,adjective
ښکاره,ADJ,adjective
ښکاري,ADJ,adjective
ښکرور,ADJ,adjective
ښکلی,ADJ,adjective
ښه,ADJ,adjective
ښورنده,ADJ,adjective
ښويکی,ADJ,adjective
ښويند,ADJ,adjective
ښويندوکی,ADJ,adjective
ښوی,ADJ,adjective
ښيلی,ADJ,adjective
ښکارندوی,ADJ,adjective
ګنګس,ADJ,adjective
څرګند,ADJ,adjective
څپول,ADJ,adjective
